% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-2,098800000000e+02) | measured fitness | best measured fitness | x1 | x2...
4 0 +4,883007944e+06 +4,883007944e+06 +4,882940094e+06 +4,882940094e+06 +1,4750e+00 +2,8816e+00 -2,2134e+00 -3,4744e+00 -1,9105e+00 -3,5749e+00 +4,2657e+00 +3,4815e+00 +1,9074e+00 -3,0529e+00 +4,5444e+00 -3,9484e+00 +2,3751e+00 -1,4660e+00 -2,8563e+00 -1,3386e-02 -3,9346e+00 -8,0778e-01 +1,8408e+00 +1,5387e+00
20 0 +4,735671307e+06 +4,735671307e+06 +4,735603457e+06 +4,735603457e+06 +3,4621e+00 -1,1614e+00 -4,6514e+00 -4,3377e+00 -1,7600e+00 +3,2134e+00 -1,6597e+00 +1,4525e+00 +2,1273e+00 +2,2217e+00 +1,1929e-01 +3,4209e+00 +1,7712e-01 -1,2497e-01 -3,7757e+00 +3,0717e+00 +2,0448e+00 -2,2255e+00 +1,7919e+00 +2,7826e+00
39 0 +3,208320390e+06 +3,208320390e+06 +3,208252540e+06 +3,208252540e+06 +4,5596e+00 +3,3550e+00 +4,9850e+00 +2,9473e+00 +2,0374e+00 -8,6382e-01 -3,8365e+00 -2,5765e-01 +1,2623e+00 +4,0499e+00 -4,8693e+00 -6,7634e-04 +3,8467e+00 +3,1215e+00 -1,7386e+00 +3,1959e+00 +1,3841e+00 -2,0245e+00 +2,7578e+00 +2,2103e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-3,639800000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +5,583215668e+07 +5,583215668e+07 +5,583179270e+07 +5,583179270e+07 -3,8095e+00 +5,0996e-01 +1,3105e+00 -2,8246e+00 -4,2210e+00 -2,2465e+00 -2,0721e-02 -9,8964e-01 -3,7356e+00 +4,3099e+00 -3,2247e+00 +4,6183e+00 -1,9774e+00 -6,8105e-02 -2,3689e+00 +2,8139e+00 -1,9861e+00 +4,3426e+00 -2,7812e+00 -4,6089e+00
3 0 +4,257088789e+07 +4,257088789e+07 +4,257052391e+07 +4,257052391e+07 +3,4601e+00 +3,1896e+00 +3,9151e+00 +2,6626e+00 +1,1112e+00 -3,5736e+00 -6,4976e-01 -2,0136e+00 -4,9157e+00 +1,5358e+00 +1,0634e+00 -4,9978e+00 -2,2245e+00 +1,3542e+00 +1,0268e+00 +3,7301e+00 -3,3709e-01 +2,1019e+00 +6,0710e-01 -3,6743e+00
4 0 +1,516905318e+07 +1,516905318e+07 +1,516868920e+07 +1,516868920e+07 -3,6961e-01 +2,6676e+00 +3,9152e+00 -2,1059e+00 -4,3754e+00 -1,5224e+00 -3,2530e+00 -1,4055e+00 +2,6198e+00 +2,6490e+00 +1,2028e+00 -1,1761e+00 +4,6045e+00 +4,4457e+00 -9,1000e-01 +1,1117e+00 -3,8990e+00 +3,9283e+00 +4,2930e+00 +7,7178e-01
8 0 +2,481799136e+06 +2,481799136e+06 +2,481435156e+06 +2,481435156e+06 -4,8666e+00 -2,6421e+00 +2,6287e+00 -4,9678e+00 +4,5194e+00 -1,6579e-01 +2,2340e+00 -4,5991e+00 -4,5968e+00 -4,9246e+00 -3,1416e-01 -3,7278e+00 -2,8342e+00 +9,0691e-01 -1,5978e-02 -8,1039e-01 -3,6287e+00 +3,1871e+00 +1,7352e+00 +2,7698e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-1,865000000000e+01) | measured fitness | best measured fitness | x1 | x2...
1 0 +8,274933010e+06 +8,274933010e+06 +8,274914360e+06 +8,274914360e+06 -3,8548e+00 +2,2488e-01 +1,6249e+00 -3,5242e+00 +2,5669e+00 +3,4735e+00 +3,6408e+00 -3,4251e-01 +3,7255e+00 +2,6895e+00 -2,9239e+00 +1,4866e+00 -4,4837e+00 +2,7633e+00 -7,6676e-01 -4,4372e+00 +4,7364e+00 +6,3112e-02 -1,0934e+00 -1,7142e+00
6 0 +7,343228422e+06 +7,343228422e+06 +7,343209772e+06 +7,343209772e+06 +3,6054e+00 -1,8033e+00 +4,4039e+00 -6,2945e-01 +3,1785e+00 -4,1704e+00 -3,0930e+00 +3,9455e+00 +1,3167e+00 +2,1909e+00 -2,3155e+00 +3,7882e+00 +7,1678e-01 +5,2768e-01 +3,0908e+00 +5,7686e-02 +1,8009e+00 -1,6824e+00 +1,1250e+00 +2,5607e+00
14 0 +6,663758716e+06 +6,663758716e+06 +6,663740066e+06 +6,663740066e+06 -2,5816e+00 -3,9117e+00 -3,0060e-02 -3,9515e+00 -3,2811e+00 +3,8930e+00 -3,3917e+00 +4,6957e-01 -8,7315e-01 -4,5609e+00 -3,6661e+00 +8,5358e-01 +3,4373e-01 -4,8618e+00 +1,8994e+00 +1,5367e+00 -1,6366e+00 -1,4080e+00 -8,3411e-02 +2,0716e+00
15 0 +4,253889961e+06 +4,253889961e+06 +4,253871311e+06 +4,253871311e+06 +1,9676e+00 -3,5375e+00 +4,0162e+00 +2,8594e+00 +5,1527e-01 -1,1333e+00 -4,0172e+00 +4,7077e+00 +3,8307e+00 -2,5469e-01 -1,5028e+00 +1,3180e+00 +1,6645e+00 -3,5917e+00 +2,0730e+00 -1,0071e+00 +1,9426e+00 -3,2283e+00 +1,7913e+00 -3,0407e-01
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (1,749200000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +8,373395005e+07 +8,373395005e+07 +8,373412497e+07 +8,373412497e+07 +2,3089e+00 +4,9269e+00 +1,6094e-02 +3,3108e-01 +3,4391e-01 +1,5787e+00 +3,1898e+00 +2,7232e+00 +1,8421e-01 +3,1623e+00 -4,4126e+00 +3,4129e+00 -3,7299e+00 +3,3579e+00 -1,1815e+00 -2,2312e+00 -3,1025e+00 +3,4091e+00 -2,3479e-01 +4,5789e+00
2 0 +6,971516512e+06 +6,971516512e+06 +6,971691432e+06 +6,971691432e+06 -2,3138e+00 -9,0637e-01 +4,6435e+00 +3,4146e+00 -3,3170e+00 -4,9607e+00 +2,2147e+00 -2,0865e+00 +1,1818e+00 -4,8364e+00 +4,0276e+00 -4,9703e+00 +4,5474e-01 +4,7013e+00 -3,0369e+00 +1,5245e+00 +1,7608e+00 -2,4629e+00 +4,8098e+00 -3,2500e+00
20 0 +2,346679498e+06 +2,346679498e+06 +2,346854418e+06 +2,346854418e+06 +2,7925e+00 -4,0584e-01 -4,3336e+00 +4,6752e+00 +4,3169e-01 +1,6635e+00 -2,4104e+00 -4,3604e+00 +1,1448e-03 -3,4289e+00 +7,3913e-01 -3,3484e+00 +1,1201e+00 +2,7939e-01 +4,3282e+00 -1,9927e+00 +1,4689e+00 -4,9287e-01 +1,3522e+00 -3,6729e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (-5,659600000000e+02) | measured fitness | best measured fitness | x1 | x2...
1 0 +1,289633790e+07 +1,289633790e+07 +1,289577194e+07 +1,289577194e+07 +4,6530e+00 +2,6146e+00 +4,5519e+00 -1,0448e+00 -3,5341e+00 +1,0455e-01 -4,8341e+00 -3,5736e+00 -4,0494e+00 -3,1870e+00 +4,9341e+00 -4,5536e+00 +2,7753e+00 -4,6296e+00 -1,3671e+00 +4,5357e+00 +2,8347e+00 -1,3333e+00 +4,4015e+00 +1,5841e+00
2 0 +9,760788682e+06 +9,760788682e+06 +9,760222722e+06 +9,760222722e+06 +9,4038e-02 -5,1050e-01 +2,5827e-01 +2,7370e+00 -5,8307e-01 +3,1491e-01 -4,4402e+00 -3,2364e+00 -3,5265e+00 +3,6668e+00 -2,4496e+00 +2,8469e+00 -2,5609e+00 +2,6506e+00 +3,0387e+00 +3,4571e+00 -3,1349e+00 +2,0190e+00 -8,0495e-01 +4,2544e+00
3 0 +8,550382096e+06 +8,550382096e+06 +8,549816136e+06 +8,549816136e+06 -3,1576e+00 +2,4438e+00 -4,5188e+00 -1,8955e-01 +4,3744e+00 +4,5406e+00 +8,0147e-01 -2,6523e+00 -3,2601e+00 +4,6380e+00 -3,8891e+00 +6,6660e-01 -3,4519e+00 +1,2796e+00 +2,9173e+00 +2,9632e+00 -8,2416e-01 +1,6082e-02 +2,3841e+00 +3,3455e-01
8 0 +7,386035269e+06 +7,386035269e+06 +7,385469309e+06 +7,385469309e+06 -3,7946e+00 -3,5359e+00 -3,2842e+00 +2,5249e+00 -1,4531e+00 -2,9710e-01 +2,5649e+00 +4,3009e+00 +1,9207e+00 -4,6603e+00 -2,9527e-01 -9,1679e-01 -1,1741e+00 +3,9972e+00 +2,1997e+00 +1,1137e+00 +3,7284e+00 -1,9954e+00 +2,7856e+00 +3,5091e+00
9 0 +5,279623881e+06 +5,279623881e+06 +5,279057921e+06 +5,279057921e+06 +1,1006e+00 +1,6814e+00 -1,5415e+00 -1,6295e+00 -4,3330e+00 +6,3983e-01 +1,2502e+00 -4,3116e+00 +4,5381e+00 +1,8416e+00 -2,2392e+00 +3,8979e+00 +4,7115e+00 +1,9356e-02 +3,1046e+00 -1,6571e+00 +2,2842e+00 +1,5161e+00 +1,0626e+00 +3,8852e+00
25 0 +3,093938676e+06 +3,093938676e+06 +3,093372716e+06 +3,093372716e+06 -4,9493e+00 +4,3014e+00 -1,9342e+00 -3,8393e-02 -1,9006e-01 -2,9118e+00 -3,5985e+00 -3,8715e+00 -4,4562e+00 -3,3587e+00 -4,5901e+00 -5,4721e-01 -1,3933e+00 +1,6865e+00 -2,3757e+00 +2,2036e-01 -4,1531e+00 -6,7649e-01 -2,1155e-01 +2,7395e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt | noise-free fitness - Fopt (7,095000000000e+01) | measured fitness | best measured fitness | x1 | x2...
